,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
27,Hotel Pulitzer Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d296915-Reviews-Hotel_Pulitzer_Barcelona-Barcelona_Catalonia.html,Barcelona,2574 ,,2022/01/01,2022/01/05,$212,Hotels.com,16,
28,St Christopher's Inn Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d3686057-Reviews-St_Christopher_s_Inn_Barcelona-Barcelona_Catalonia.html,Barcelona,1305 ,,2022/01/01,2022/01/05,$337,eDreams,12,
29,Hostal Sans,https://www.tripadvisor.com/Hotel_Review-g187497-d2538214-Reviews-Hostal_Sans-Barcelona_Catalonia.html,Barcelona,50 ,,2022/01/01,2022/01/05,$60,Hotels.com,12,
30,Hotel & Spa Villa Olimpica Suites,https://www.tripadvisor.com/Hotel_Review-g187497-d1536366-Reviews-Hotel_Spa_Villa_Olimpica_Suites-Barcelona_Catalonia.html,Barcelona,921 ,,2022/01/01,2022/01/05,$142,Hotels.com,14,
31,H10 Casa Mimosa,https://www.tripadvisor.com/Hotel_Review-g187497-d10683772-Reviews-H10_Casa_Mimosa-Barcelona_Catalonia.html,Barcelona,815 ,,2022/01/01,2022/01/05,,Expedia.com,20,
32,Hotel Omnium,https://www.tripadvisor.com/Hotel_Review-g187497-d8658323-Reviews-Hotel_Omnium-Barcelona_Catalonia.html,Barcelona,175 ,,2022/01/01,2022/01/05,$160,Booking.com,12,
33,Hotel Duquesa de Cardona,https://www.tripadvisor.com/Hotel_Review-g187497-d259360-Reviews-Hotel_Duquesa_de_Cardona-Barcelona_Catalonia.html,Barcelona,2798 ,,2022/01/01,2022/01/05,$241,Booking.com,11,
34,Claris Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187497-d190615-Reviews-Claris_Hotel_Spa-Barcelona_Catalonia.html,Barcelona,2615 ,,2022/01/01,2022/01/05,$207,Claris Hotel,15,
35,Kimpton Vividora Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d17764609-Reviews-Kimpton_Vividora_Hotel-Barcelona_Catalonia.html,Barcelona,142 ,,2022/01/01,2022/01/05,$273,Hotels.com,16,
36,ibis Styles Barcelona City Bogatell Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d10670124-Reviews-Ibis_Styles_Barcelona_City_Bogatell_Hotel-Barcelona_Catalonia.html,Barcelona,972 ,,2022/01/01,2022/01/05,$119,Hotels.com,16,
37,"Alexandra Barcelona Hotel, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g187497-d228648-Reviews-Alexandra_Barcelona_Hotel_Curio_Collection_by_Hilton-Barcelona_Catalonia.html,Barcelona,2615 ,,2022/01/01,2022/01/05,$184,Curio by Hilton,15,
38,Apartments Sixtyfour,https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html,Barcelona,738 ,,2022/01/01,2022/01/05,$403,Booking.com,13,
39,Catalonia Portal de l'Angel,https://www.tripadvisor.com/Hotel_Review-g187497-d228527-Reviews-Catalonia_Portal_de_l_Angel-Barcelona_Catalonia.html,Barcelona,1579 ,,2022/01/01,2022/01/05,$123,Booking.com,15,
40,Hotel Ohla Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d1940950-Reviews-Hotel_Ohla_Barcelona-Barcelona_Catalonia.html,Barcelona,2194 ,,2022/01/01,2022/01/05,$258,Booking.com,18,
41,Ibis Styles Barcelona Centre Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d8779132-Reviews-Ibis_Styles_Barcelona_Centre_Hotel-Barcelona_Catalonia.html,Barcelona,1278 ,,2022/01/01,2022/01/05,$93,Booking.com,13,
42,Hotel Cuatro Naciones,https://www.tripadvisor.com/Hotel_Review-g187497-d237158-Reviews-Hotel_Cuatro_Naciones-Barcelona_Catalonia.html,Barcelona,1261 ,,2022/01/01,2022/01/05,$93,Booking.com,12,
43,Yeah Barcelona Hostel,https://www.tripadvisor.com/Hotel_Review-g187497-d9808248-Reviews-Yeah_Barcelona_Hostel-Barcelona_Catalonia.html,Barcelona,574 ,,2022/01/01,2022/01/05,$101,Agoda.com,12,
44,Hotel Suizo,https://www.tripadvisor.com/Hotel_Review-g187497-d231527-Reviews-Hotel_Suizo-Barcelona_Catalonia.html,Barcelona,533 ,,2022/01/01,2022/01/05,$118,Hotels.com,13,
45,Hotel El Palace Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d190617-Reviews-Hotel_El_Palace_Barcelona-Barcelona_Catalonia.html,Barcelona,2285 ,,2022/01/01,2022/01/05,$438,Hotels.com,17,
46,Petit Palace Museum Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d633625-Reviews-Petit_Palace_Museum_Hotel-Barcelona_Catalonia.html,Barcelona,1413 ,,2022/01/01,2022/01/05,$176,Booking.com,14,
47,Hotel Paral.lel,https://www.tripadvisor.com/Hotel_Review-g187497-d231524-Reviews-Hotel_Paral_lel-Barcelona_Catalonia.html,Barcelona,1606 ,,2022/01/01,2022/01/05,$82,Booking.com,14,
48,Hostal Mare Nostrum,https://www.tripadvisor.com/Hotel_Review-g187497-d608390-Reviews-Hostal_Mare_Nostrum-Barcelona_Catalonia.html,Barcelona,633 ,,2022/01/01,2022/01/05,$122,Booking.com,10,
49,Best Western Plus Hotel Alfa Aeropuerto,https://www.tripadvisor.com/Hotel_Review-g187497-d227467-Reviews-Best_Western_Plus_Hotel_Alfa_Aeropuerto-Barcelona_Catalonia.html,Barcelona,1346 ,,2022/01/01,2022/01/05,$104,Hotels.com,14,
50,Operaramblas,https://www.tripadvisor.com/Hotel_Review-g187497-d2316808-Reviews-Operaramblas-Barcelona_Catalonia.html,Barcelona,752 ,,2022/01/01,2022/01/05,$90,Priceline,9,
51,Condado Hotel Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d228531-Reviews-Condado_Hotel_Barcelona-Barcelona_Catalonia.html,Barcelona,1429 ,,2022/01/01,2022/01/05,$132,Hotels.com,12,
52,Hotel Colonial Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d1485476-Reviews-Hotel_Colonial_Barcelona-Barcelona_Catalonia.html,Barcelona,1039 ,,2022/01/01,2022/01/05,$126,Booking.com,15,
53,Hotel Via Augusta,https://www.tripadvisor.com/Hotel_Review-g187497-d228478-Reviews-Hotel_Via_Augusta-Barcelona_Catalonia.html,Barcelona,1084 ,,2022/01/01,2022/01/05,$105,Booking.com,13,
54,Ofelias Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d2440485-Reviews-Ofelias_Hotel-Barcelona_Catalonia.html,Barcelona,676 ,,2022/01/01,2022/01/05,$179,Hotels.com,12,
55,Hotel Actual,https://www.tripadvisor.com/Hotel_Review-g187497-d279200-Reviews-Hotel_Actual-Barcelona_Catalonia.html,Barcelona,600 ,,2022/01/01,2022/01/05,$137,Booking.com,15,
56,H10 Universitat,https://www.tripadvisor.com/Hotel_Review-g187497-d483102-Reviews-H10_Universitat-Barcelona_Catalonia.html,Barcelona,1825 ,,2022/01/01,2022/01/05,$155,Booking.com,14,
57,Hotel Paseo De Gracia,https://www.tripadvisor.com/Hotel_Review-g187497-d1586049-Reviews-Hotel_Paseo_De_Gracia-Barcelona_Catalonia.html,Barcelona,254 ,,2022/01/01,2022/01/05,$91,Hotels.com,15,
58,Leonardo Boutique Hotel Barcelona Sagrada Familia,https://www.tripadvisor.com/Hotel_Review-g187497-d1999376-Reviews-Leonardo_Boutique_Hotel_Barcelona_Sagrada_Familia-Barcelona_Catalonia.html,Barcelona,1792 ,,2022/01/01,2022/01/05,$138,Booking.com,12,
