,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
28,H7 Palace,https://www.tripadvisor.com/Hotel_Review-g274707-d10728411-Reviews-H7_Palace-Prague_Bohemia.html,Prague,210 ,,2022/01/01,2022/01/05,,eDreams,12,
29,Cloister Inn Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d276529-Reviews-Cloister_Inn_Hotel-Prague_Bohemia.html,Prague,2490 ,,2022/01/01,2022/01/05,,Travelocity,15,
30,Hotel Sovereign,https://www.tripadvisor.com/Hotel_Review-g274707-d644473-Reviews-Hotel_Sovereign-Prague_Bohemia.html,Prague,973 ,,2022/01/01,2022/01/05,,Travelocity,15,
31,Numa l Libusa Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html,Prague,363 ,,2022/01/01,2022/01/05,$67,Official Site,0,
32,Hilton Prague Old Town,https://www.tripadvisor.com/Hotel_Review-g274707-d275254-Reviews-Hilton_Prague_Old_Town-Prague_Bohemia.html,Prague,4141 ,,2022/01/01,2022/01/05,$134,Booking.com,20,
33,Josephine Old Town Square Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d13364643-Reviews-Josephine_Old_Town_Square_Hotel-Prague_Bohemia.html,Prague,422 ,,2022/01/01,2022/01/05,$44,Booking.com,13,
34,Radisson Blu Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1158891-Reviews-Radisson_Blu_Hotel_Prague-Prague_Bohemia.html,Prague,205 ,,2022/01/01,2022/01/05,$107,Tripadvisor,18,
35,Century Old Town Prague - MGallery Hotel Collection,https://www.tripadvisor.com/Hotel_Review-g274707-d277214-Reviews-Century_Old_Town_Prague_MGallery_Hotel_Collection-Prague_Bohemia.html,Prague,3294 ,,2022/01/01,2022/01/05,$112,Booking.com,19,
36,Hermitage Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1235795-Reviews-Hermitage_Hotel_Prague-Prague_Bohemia.html,Prague,3272 ,,2022/01/01,2022/01/05,$74,Booking.com,17,
37,Charles Bridge Hostel & Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d2202493-Reviews-Charles_Bridge_Hostel_Apartments-Prague_Bohemia.html,Prague,593 ,,2022/01/01,2022/01/05,$40,Booking.com,13,
38,Wellness Hotel Step,https://www.tripadvisor.com/Hotel_Review-g274707-d296749-Reviews-Wellness_Hotel_Step-Prague_Bohemia.html,Prague,1544 ,,2022/01/01,2022/01/05,$35,Tripadvisor,13,
39,Gorgeous Prague Rooms,https://www.tripadvisor.com/Hotel_Review-g274707-d11761208-Reviews-Gorgeous_Prague_Rooms-Prague_Bohemia.html,Prague,210 ,,2022/01/01,2022/01/05,$42,Tripadvisor,13,
40,Hotel Angelis Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d15242090-Reviews-Hotel_Angelis_Prague-Prague_Bohemia.html,Prague,670 ,,2022/01/01,2022/01/05,$42,Tripadvisor,16,
41,Red And Blue Design Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d1567183-Reviews-Red_And_Blue_Design_Hotel-Prague_Bohemia.html,Prague,2145 ,,2022/01/01,2022/01/05,$36,Tripadvisor,14,
42,Prague Marriott Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d275252-Reviews-Prague_Marriott_Hotel-Prague_Bohemia.html,Prague,2805 ,,2022/01/01,2022/01/05,$173,Booking.com,17,
43,Volcano Spa Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d1719181-Reviews-Volcano_Spa_Hotel-Prague_Bohemia.html,Prague,163 ,,2022/01/01,2022/01/05,$65,Agoda.com,14,
