,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
26,Hotel Chavanel,https://www.tripadvisor.com/Hotel_Review-g187147-d5289200-Reviews-Hotel_Chavanel-Paris_Ile_de_France.html,Paris,188 ,,2022/01/01,2022/01/05,$191,Booking.com,18,
27,Campanile Paris 14 - Maine Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d264552-Reviews-Campanile_Paris_14_Maine_Montparnasse-Paris_Ile_de_France.html,Paris,730 ,,2022/01/01,2022/01/05,$80,Agoda.com,10,
28,St Christopher's Inn Canal Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d1072845-Reviews-St_Christopher_s_Inn_Canal_Paris-Paris_Ile_de_France.html,Paris,1389 ,,2022/01/01,2022/01/05,$60,Booking.com,13,
29,Hotel Peyris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d232529-Reviews-Hotel_Peyris_Opera-Paris_Ile_de_France.html,Paris,804 ,,2022/01/01,2022/01/05,$107,Booking.com,17,
30,Castex Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d235555-Reviews-Castex_Hotel-Paris_Ile_de_France.html,Paris,787 ,,2022/01/01,2022/01/05,$96,Booking.com,14,
31,Hotel Campanile Paris Bercy Village,https://www.tripadvisor.com/Hotel_Review-g187147-d233766-Reviews-Hotel_Campanile_Paris_Bercy_Village-Paris_Ile_de_France.html,Paris,1547 ,,2022/01/01,2022/01/05,,Expedia.com,18,
32,Hotel Concortel,https://www.tripadvisor.com/Hotel_Review-g187147-d291050-Reviews-Hotel_Concortel-Paris_Ile_de_France.html,Paris,577 ,,2022/01/01,2022/01/05,$162,Booking.com,15,
33,B Montmartre Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,Paris,1643 ,,2022/01/01,2022/01/05,$153,Booking.com,14,
34,Hotel Palm - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d232480-Reviews-Hotel_Palm_Astotel-Paris_Ile_de_France.html,Paris,1765 ,,2022/01/01,2022/01/05,$101,Official Site,18,
35,Hotel Grand Powers,https://www.tripadvisor.com/Hotel_Review-g187147-d228837-Reviews-Hotel_Grand_Powers-Paris_Ile_de_France.html,Paris,342 ,,2022/01/01,2022/01/05,$421,Priceline,17,
36,Hotel du Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d189700-Reviews-Hotel_du_Louvre-Paris_Ile_de_France.html,Paris,391 ,,2022/01/01,2022/01/05,$367,Tripadvisor,17,
37,Hotel Le Milie Rose,https://www.tripadvisor.com/Hotel_Review-g187147-d23396908-Reviews-Hotel_Le_Milie_Rose-Paris_Ile_de_France.html,Paris,183 ,,2022/01/01,2022/01/05,$133,Booking.com,12,
38,Hotel Elysees Flaubert,https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html,Paris,394 ,,2022/01/01,2022/01/05,$103,Booking.com,16,
39,Hotel Relais Bosquet Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d229602-Reviews-Hotel_Relais_Bosquet_Paris-Paris_Ile_de_France.html,Paris,3058 ,,2022/01/01,2022/01/05,$102,Booking.com,15,
40,Hotel Le 123 Sebastopol - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d4800782-Reviews-Hotel_Le_123_Sebastopol_Astotel-Paris_Ile_de_France.html,Paris,2399 ,,2022/01/01,2022/01/05,$144,Booking.com,19,
41,Maison Souquet,https://www.tripadvisor.com/Hotel_Review-g187147-d7182695-Reviews-Maison_Souquet-Paris_Ile_de_France.html,Paris,1077 ,,2022/01/01,2022/01/05,$360,Priceline,19,
42,"Mandarin Oriental, Paris",https://www.tripadvisor.com/Hotel_Review-g187147-d2041918-Reviews-Mandarin_Oriental_Paris-Paris_Ile_de_France.html,Paris,2379 ,,2022/01/01,2022/01/05,"$1,209",Booking.com,18,
43,Hotel Madison,https://www.tripadvisor.com/Hotel_Review-g187147-d228699-Reviews-Hotel_Madison-Paris_Ile_de_France.html,Paris,1289 ,,2022/01/01,2022/01/05,$232,Booking.com,17,
44,L'Empire Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d647228-Reviews-L_Empire_Paris-Paris_Ile_de_France.html,Paris,1056 ,,2022/01/01,2022/01/05,$173,Booking.com,21,
45,Minerve Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d235587-Reviews-Minerve_Hotel-Paris_Ile_de_France.html,Paris,973 ,,2022/01/01,2022/01/05,$96,Booking.com,14,
46,Hotel Acropole,https://www.tripadvisor.com/Hotel_Review-g187147-d197617-Reviews-Hotel_Acropole-Paris_Ile_de_France.html,Paris,640 ,,2022/01/01,2022/01/05,$92,Booking.com,17,
47,Hotel Champerret Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d197510-Reviews-Hotel_Champerret_Elysees-Paris_Ile_de_France.html,Paris,444 ,,2022/01/01,2022/01/05,$112,Booking.com,17,
48,Lenox Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d235575-Reviews-Lenox_Montparnasse-Paris_Ile_de_France.html,Paris,2114 ,,2022/01/01,2022/01/05,$161,Booking.com,18,
49,Hotel Splendid Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d229621-Reviews-Hotel_Splendid_Etoile-Paris_Ile_de_France.html,Paris,1635 ,,2022/01/01,2022/01/05,$174,Booking.com,18,
50,Palym Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d481361-Reviews-Palym_Hotel-Paris_Ile_de_France.html,Paris,993 ,,2022/01/01,2022/01/05,$112,Booking.com,15,
51,Hotel Quartier Latin,https://www.tripadvisor.com/Hotel_Review-g187147-d198049-Reviews-Hotel_Quartier_Latin-Paris_Ile_de_France.html,Paris,585 ,,2022/01/01,2022/01/05,$118,Booking.com,15,
52,Hotel les Deux Girafes Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d14465492-Reviews-Hotel_les_Deux_Girafes_Paris-Paris_Ile_de_France.html,Paris,172 ,,2022/01/01,2022/01/05,$182,Booking.com,16,
53,Hotel Odessa Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d233780-Reviews-Hotel_Odessa_Montparnasse-Paris_Ile_de_France.html,Paris,497 ,,2022/01/01,2022/01/05,$93,Booking.com,16,
54,Hotel Oratio,https://www.tripadvisor.com/Hotel_Review-g187147-d222912-Reviews-Hotel_Oratio-Paris_Ile_de_France.html,Paris,1062 ,,2022/01/01,2022/01/05,$99,Booking.com,15,
55,Terrass'' Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d198085-Reviews-Terrass_Hotel-Paris_Ile_de_France.html,Paris,1343 ,,2022/01/01,2022/01/05,$162,Booking.com,18,
56,Hotel Le Clement,https://www.tripadvisor.com/Hotel_Review-g187147-d197436-Reviews-Hotel_Le_Clement-Paris_Ile_de_France.html,Paris,760 ,,2022/01/01,2022/01/05,$131,Booking.com,14,
57,Classics Hotel Bastille,https://www.tripadvisor.com/Hotel_Review-g187147-d296375-Reviews-Classics_Hotel_Bastille-Paris_Ile_de_France.html,Paris,642 ,,2022/01/01,2022/01/05,$84,Booking.com,15,
58,Hotel Rendez-Vous Batignolles,https://www.tripadvisor.com/Hotel_Review-g187147-d1935555-Reviews-Hotel_Rendez_Vous_Batignolles-Paris_Ile_de_France.html,Paris,125 ,,2022/01/01,2022/01/05,$101,Booking.com,13,
59,Victoria Palace Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d229528-Reviews-Victoria_Palace_Hotel-Paris_Ile_de_France.html,Paris,169 ,,2022/01/01,2022/01/05,,Orbitz.com,19,
60,Relais Christine,https://www.tripadvisor.com/Hotel_Review-g187147-d219977-Reviews-Relais_Christine-Paris_Ile_de_France.html,Paris,1286 ,,2022/01/01,2022/01/05,,Orbitz.com,19,
61,Neuville Arc de Triomphe Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197518-Reviews-Neuville_Arc_de_Triomphe_Hotel-Paris_Ile_de_France.html,Paris,181 ,,2022/01/01,2022/01/05,,Booking.com,18,
62,Hotel Les Jardins du Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d197438-Reviews-Hotel_Les_Jardins_du_Marais-Paris_Ile_de_France.html,Paris,2993 ,,2022/01/01,2022/01/05,,Orbitz.com,17,
63,Hotel du Collectionneur,https://www.tripadvisor.com/Hotel_Review-g187147-d291544-Reviews-Hotel_du_Collectionneur-Paris_Ile_de_France.html,Paris,3711 ,,2022/01/01,2022/01/05,,Booking.com,18,
64,Hotel Elysees Flaubert,https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html,Paris,394 ,,2022/01/01,2022/01/05,$103,Booking.com,16,
65,Hotel Balmoral,https://www.tripadvisor.com/Hotel_Review-g187147-d233573-Reviews-Hotel_Balmoral-Paris_Ile_de_France.html,Paris,1811 ,,2022/01/01,2022/01/05,$145,Hotels.com,16,
66,Hotel Eiffel Blomet,https://www.tripadvisor.com/Hotel_Review-g187147-d6395273-Reviews-Hotel_Eiffel_Blomet-Paris_Ile_de_France.html,Paris,1077 ,,2022/01/01,2022/01/05,$137,Booking.com,19,
67,Secret de Paris - Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,Paris,2073 ,,2022/01/01,2022/01/05,$200,Booking.com,18,
68,Hotel Marignan Champs-Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d228779-Reviews-Hotel_Marignan_Champs_Elysees-Paris_Ile_de_France.html,Paris,926 ,,2022/01/01,2022/01/05,$373,Official Site,19,
69,Hotel Villa Saxe Eiffel,https://www.tripadvisor.com/Hotel_Review-g187147-d228791-Reviews-Hotel_Villa_Saxe_Eiffel-Paris_Ile_de_France.html,Paris,1095 ,,2022/01/01,2022/01/05,$132,Agoda.com,17,
70,Hotel Concortel,https://www.tripadvisor.com/Hotel_Review-g187147-d291050-Reviews-Hotel_Concortel-Paris_Ile_de_France.html,Paris,577 ,,2022/01/01,2022/01/05,$162,Booking.com,15,
71,Courtyard by Marriott Paris Gare de Lyon,https://www.tripadvisor.com/Hotel_Review-g187147-d15243992-Reviews-Courtyard_by_Marriott_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,Paris,338 ,,2022/01/01,2022/01/05,$182,Courtyard,15,
72,Le Relais du Louvre,https://www.tripadvisor.com/Hotel_Review-g187147-d222914-Reviews-Le_Relais_du_Louvre-Paris_Ile_de_France.html,Paris,906 ,,2022/01/01,2022/01/05,$174,Agoda.com,13,
73,Chouette Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d260484-Reviews-Chouette_Hotel-Paris_Ile_de_France.html,Paris,880 ,,2022/01/01,2022/01/05,$93,Priceline,19,
74,Hotel Da Vinci,https://www.tripadvisor.com/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci-Paris_Ile_de_France.html,Paris,1185 ,,2022/01/01,2022/01/05,$200,Hotels.com,17,
75,Hotel Jardin Le Brea,https://www.tripadvisor.com/Hotel_Review-g187147-d194283-Reviews-Hotel_Jardin_Le_Brea-Paris_Ile_de_France.html,Paris,1031 ,,2022/01/01,2022/01/05,$107,Official Hotel Site,16,
76,Dadou Paris - Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d20993682-Reviews-Dadou_Paris_Hotel-Paris_Ile_de_France.html,Paris,51 ,,2022/01/01,2022/01/05,$149,Expedia.com,12,
