,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
70,Hotel Villa Real,http://www.tripadvisor.com/Hotel_Review-g187514-d190149-Reviews-Hotel_Villa_Real-Madrid.html,Madrid,2330 ,,2020/11/01,2020/11/05,$138,Hotels.com,13,
71,Iberostar Las Letras Gran Via,http://www.tripadvisor.com/Hotel_Review-g187514-d498185-Reviews-Iberostar_Las_Letras_Gran_Via-Madrid.html,Madrid,2020 ,,2020/11/01,2020/11/05,$139,Hotels.com,13,
72,VP Jardin de Recoletos,http://www.tripadvisor.com/Hotel_Review-g187514-d232815-Reviews-VP_Jardin_de_Recoletos-Madrid.html,Madrid,670 ,,2020/11/01,2020/11/05,$148,Booking.com,13,
73,Hotel Atlantico,http://www.tripadvisor.com/Hotel_Review-g187514-d227459-Reviews-Hotel_Atlantico-Madrid.html,Madrid,3788 ,,2020/11/01,2020/11/05,$169,Booking.com,12,
74,Mercure Madrid Plaza de Espana,http://www.tripadvisor.com/Hotel_Review-g187514-d206966-Reviews-Mercure_Madrid_Plaza_de_Espana-Madrid.html,Madrid,476 ,,2020/11/01,2020/11/05,$194,Mercure,12,
75,Petit Palace Puerta Del Sol,http://www.tripadvisor.com/Hotel_Review-g187514-d498913-Reviews-Petit_Palace_Puerta_Del_Sol-Madrid.html,Madrid,1477 ,,2020/11/01,2020/11/05,$125,Booking.com,11,
76,NH Alonso Martinez,http://www.tripadvisor.com/Hotel_Review-g187514-d232817-Reviews-NH_Alonso_Martinez-Madrid.html,Madrid,1192 ,,2020/11/01,2020/11/05,$130,Booking.com,11,
77,Room007 Sol,http://www.tripadvisor.com/Hotel_Review-g187514-d12157739-Reviews-Room007_Sol-Madrid.html,Madrid,426 ,,2020/11/01,2020/11/05,$80,Booking.com,14,
78,Hilton Madrid Airport,http://www.tripadvisor.com/Hotel_Review-g187514-d649828-Reviews-Hilton_Madrid_Airport-Madrid.html,Madrid,3789 ,,2020/11/01,2020/11/05,$92,Booking.com,11,
79,Hotel Claridge,http://www.tripadvisor.com/Hotel_Review-g187514-d228475-Reviews-Hotel_Claridge-Madrid.html,Madrid,1428 ,,2020/11/01,2020/11/05,$90,Booking.com,12,
80,Toc Hostel & Suites,http://www.tripadvisor.com/Hotel_Review-g187514-d6951963-Reviews-Toc_Hostel_Suites-Madrid.html,Madrid,612 ,,2020/11/01,2020/11/05,$127,Orbitz.com,13,
81,H10 Puerta de Alcala,http://www.tripadvisor.com/Hotel_Review-g187514-d206978-Reviews-H10_Puerta_de_Alcala-Madrid.html,Madrid,552 ,,2020/11/01,2020/11/05,$124,Hotels.com,11,
82,Vincci The Mint,http://www.tripadvisor.com/Hotel_Review-g187514-d9860645-Reviews-Vincci_The_Mint-Madrid.html,Madrid,1265 ,,2020/11/01,2020/11/05,$242,Expedia.com,19,
83,H10 Tribeca,http://www.tripadvisor.com/Hotel_Review-g187514-d228661-Reviews-H10_Tribeca-Madrid.html,Madrid,854 ,,2020/11/01,2020/11/05,$122,Booking.com,12,
84,The Walt Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d11984898-Reviews-The_Walt_Madrid-Madrid.html,Madrid,285 ,,2020/11/01,2020/11/05,$126,Booking.com,17,
85,Ayre Gran Hotel Colon,http://www.tripadvisor.com/Hotel_Review-g187514-d228573-Reviews-Ayre_Gran_Hotel_Colon-Madrid.html,Madrid,2870 ,,2020/11/01,2020/11/05,$98,Booking.com,8,
86,Hostal Gala,http://www.tripadvisor.com/Hotel_Review-g187514-d1724913-Reviews-Hostal_Gala-Madrid.html,Madrid,632 ,,2020/11/01,2020/11/05,$121,Booking.com,9,
87,VP Jardin Metropolitano,http://www.tripadvisor.com/Hotel_Review-g187514-d589532-Reviews-VP_Jardin_Metropolitano-Madrid.html,Madrid,742 ,,2020/11/01,2020/11/05,$87,Booking.com,11,
88,Hotel One Shot Prado 23,http://www.tripadvisor.com/Hotel_Review-g187514-d3722055-Reviews-Hotel_One_Shot_Prado_23-Madrid.html,Madrid,1094 ,,2020/11/01,2020/11/05,$167,Booking.com,13,
89,Axel Hotel Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d12560161-Reviews-Axel_Hotel_Madrid-Madrid.html,Madrid,865 ,,2020/11/01,2020/11/05,$145,Booking.com,20,
90,Bastardo Hostel,http://www.tripadvisor.com/Hotel_Review-g187514-d13827973-Reviews-Bastardo_Hostel-Madrid.html,Madrid,189 ,,2020/11/01,2020/11/05,$112,Booking.com,13,
91,Gran Hotel Ingles,http://www.tripadvisor.com/Hotel_Review-g187514-d10190864-Reviews-Gran_Hotel_Ingles-Madrid.html,Madrid,306 ,,2020/11/01,2020/11/05,$512,Priceline,16,
92,Petit Palace Tres Cruces,http://www.tripadvisor.com/Hotel_Review-g187514-d600331-Reviews-Petit_Palace_Tres_Cruces-Madrid.html,Madrid,1427 ,,2020/11/01,2020/11/05,,Expedia.com,12,
93,Hotel Puerta de Toledo,http://www.tripadvisor.com/Hotel_Review-g187514-d234299-Reviews-Hotel_Puerta_de_Toledo-Madrid.html,Madrid,1275 ,,2020/11/01,2020/11/05,,Booking.com,12,
