,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
28,Le 10 Bis Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d10296011-Reviews-Le_10_Bis_Hotel-Paris_Ile_de_France.html,Paris,693 ,,2020/11/01,2020/11/05,,Expedia.com,14,
29,Goralska Residences Paris Bastille,http://www.tripadvisor.com/Hotel_Review-g187147-d8506273-Reviews-Goralska_Residences_Paris_Bastille-Paris_Ile_de_France.html,Paris,177 ,,2020/11/01,2020/11/05,,Hotels.com,8,
30,La Reserve Paris - Hotel and Spa,http://www.tripadvisor.com/Hotel_Review-g187147-d497267-Reviews-La_Reserve_Paris_Hotel_and_Spa-Paris_Ile_de_France.html,Paris,471 ,,2020/11/01,2020/11/05,,Expedia.com,9,
31,Hotel Chopin,http://www.tripadvisor.com/Hotel_Review-g187147-d196829-Reviews-Hotel_Chopin-Paris_Ile_de_France.html,Paris,887 ,,2020/11/01,2020/11/05,$103,Official Site,0,
32,Hotel Europe Saint Severin,http://www.tripadvisor.com/Hotel_Review-g187147-d250927-Reviews-Hotel_Europe_Saint_Severin-Paris_Ile_de_France.html,Paris,2323 ,,2020/11/01,2020/11/05,$88,eDreams,13,
33,Hotel Mademoiselle,http://www.tripadvisor.com/Hotel_Review-g187147-d233514-Reviews-Hotel_Mademoiselle-Paris_Ile_de_France.html,Paris,1771 ,,2020/11/01,2020/11/05,$107,eDreams,14,
34,Maison Souquet,http://www.tripadvisor.com/Hotel_Review-g187147-d7182695-Reviews-Maison_Souquet-Paris_Ile_de_France.html,Paris,988 ,,2020/11/01,2020/11/05,$404,eDreams,15,
35,Hotel Joke - Astotel,http://www.tripadvisor.com/Hotel_Review-g187147-d287896-Reviews-Hotel_Joke_Astotel-Paris_Ile_de_France.html,Paris,1549 ,,2020/11/01,2020/11/05,$88,Booking.com,14,
36,Hotel France Albion,http://www.tripadvisor.com/Hotel_Review-g187147-d282185-Reviews-Hotel_France_Albion-Paris_Ile_de_France.html,Paris,1499 ,,2020/11/01,2020/11/05,$94,Booking.com,12,
37,1K Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d472236-Reviews-1K_Paris-Paris_Ile_de_France.html,Paris,991 ,,2020/11/01,2020/11/05,$300,Official Site,0,
38,Hotel Scarlett,http://www.tripadvisor.com/Hotel_Review-g187147-d10062231-Reviews-Hotel_Scarlett-Paris_Ile_de_France.html,Paris,423 ,,2020/11/01,2020/11/05,$106,Booking.com,12,
39,Le Marianne Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d7156343-Reviews-Le_Marianne_Hotel-Paris_Ile_de_France.html,Paris,550 ,,2020/11/01,2020/11/05,$218,eDreams,14,
40,Hotel L'interlude,http://www.tripadvisor.com/Hotel_Review-g187147-d236589-Reviews-Hotel_L_interlude-Paris_Ile_de_France.html,Paris,613 ,,2020/11/01,2020/11/05,$121,eDreams,12,
41,Hyatt Regency Paris Etoile,http://www.tripadvisor.com/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html,Paris,1232 ,,2020/11/01,2020/11/05,$206,eDreams,15,
42,Passy Eiffel Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d315160-Reviews-Passy_Eiffel_Hotel-Paris_Ile_de_France.html,Paris,930 ,,2020/11/01,2020/11/05,$155,eDreams,11,
43,Le Meridien Etoile,http://www.tripadvisor.com/Hotel_Review-g187147-d228818-Reviews-Le_Meridien_Etoile-Paris_Ile_de_France.html,Paris,1280 ,,2020/11/01,2020/11/05,$182,LeMeridien.com,0,
44,Hotel R de Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d233583-Reviews-Hotel_R_de_Paris-Paris_Ile_de_France.html,Paris,1127 ,,2020/11/01,2020/11/05,$118,Official Site,13,
